respondent,Q1: What devices are you using right now?,Q2: What age group do you belong to?,Q3: What gender do you identify as?,Q4: What is the highest education level you have completed?,"Q5: What is your personal income per year, after tax?",Q6: How often do you browse the web?,Q7: What do you think is the level of your skill as a user on the web?,"Q8: You may love pizza or ice cream. But when we ask you what you would order in the restaurant, you need to choose a salad."
2,Keyboard and regular desktop mouse,38 - 47,Woman,Technical/community college,"£20,000 - £29,999",Few times a day,4,Salad
3,Keyboard and trackpad,28 - 37,Man,Secondary education,"£40,000 - £49,999",Most of the day,3,Salad
4,Keyboard and regular desktop mouse,28 - 37,Man,Technical/community college,"£0 - £10,000",Few times a day,5,Salad
7,Keyboard and regular desktop mouse,18 - 27,Man,Technical/community college,"£20,000 - £29,999",Most of the day,4,Salad
8,Keyboard and trackpad,18 - 27,Man,Undergraduate degree,"£0 - £10,000",Most of the day,5,Salad
9,Keyboard and regular desktop mouse,38 - 47,Woman,Graduate degree,"£30,000 - £39,999",Most of the day,4,Salad
10,Keyboard and regular desktop mouse,28 - 37,Man,Undergraduate degree,"£0 - £10,000",Most of the day,5,Salad
11,Keyboard and trackpad,18 - 27,Woman,High school diploma,"£0 - £10,000",Few times a day,4,Salad
12,Keyboard and regular desktop mouse,28 - 37,Woman,Graduate degree,"£30,000 - £39,999",Most of the day,4,Salad
13,Keyboard and regular desktop mouse,28 - 37,Woman,Graduate degree,"£10,000 - £19,999",Few times a day,4,Salad
14,Keyboard and regular desktop mouse,28 - 37,Man,Undergraduate degree,"£30,000 - £39,999",Few times a day,4,Salad
15,Keyboard and regular desktop mouse,38 - 47,Man,Undergraduate degree,"£10,000 - £19,999",Most of the day,5,Salad
16,Keyboard and touchpad,38 - 47,Man,Graduate degree,"£30,000 - £39,999",Most of the day,4,Salad
17,Keyboard and regular desktop mouse,18 - 27,Man,Undergraduate degree,"£10,000 - £19,999",Most of the day,5,Salad
18,Keyboard and regular desktop mouse,18 - 27,Man,Undergraduate degree,"£0 - £10,000",Few times a day,5,Salad
19,Keyboard and trackpad,38 - 47,Woman,Undergraduate degree,"£0 - £10,000",Few times a day,4,Salad
21,Keyboard and regular desktop mouse,28 - 37,Man,Technical/community college,Prefer not to answer,Most of the day,5,Salad
22,Keyboard and regular desktop mouse,38 - 47,Man,Secondary education,"£10,000 - £19,999",Few times a day,4,Salad
23,Keyboard and touchpad,28 - 37,Man,Doctorate degree,"£20,000 - £29,999",Few times a day,4,Salad
24,Keyboard and touchpad,18 - 27,Woman,High school diploma,Prefer not to answer,Few times a day,4,Salad
25,Keyboard and regular desktop mouse,38 - 47,Woman,Graduate degree,No income,Few times a day,3,Salad
27,Keyboard and regular desktop mouse,28 - 37,Man,High school diploma,"£10,000 - £19,999",Most of the day,4,Salad
28,Keyboard and regular desktop mouse,18 - 27,Woman,Undergraduate degree,"£10,000 - £19,999",Most of the day,4,Salad
29,Keyboard and trackpad,28 - 37,Man,Graduate degree,"£30,000 - £39,999",Most of the day,5,Salad
30,Keyboard and touchpad,28 - 37,Woman,Undergraduate degree,"£10,000 - £19,999",Few times a day,3,Salad
31,Keyboard and regular desktop mouse,28 - 37,Woman,Graduate degree,"£75,000 - £100,000",Most of the day,3,Salad
32,Keyboard and regular desktop mouse,28 - 37,Woman,Technical/community college,"£40,000 - £49,999",Few times a day,4,Salad
33,Keyboard and regular desktop mouse,28 - 37,Woman,Secondary education,"£30,000 - £39,999",Few times a day,4,Salad
34,Keyboard and touchpad,18 - 27,Woman,Graduate degree,"£20,000 - £29,999",Few times a day,4,Salad
36,Keyboard and regular desktop mouse,68 +,Man,Undergraduate degree,"£20,000 - £29,999",Few times a day,4,Salad
37,Keyboard and touchpad,58 - 67,Woman,Doctorate degree,"£10,000 - £19,999",Few times a day,3,Salad
38,Keyboard and touchpad,18 - 27,Woman,Undergraduate degree,"£30,000 - £39,999",Few times a day,4,Salad
39,Keyboard and regular desktop mouse,58 - 67,Man,Undergraduate degree,"£40,000 - £49,999",Few times a day,4,Salad
40,Keyboard and touchpad,48 - 57,Woman,Technical/community college,"£20,000 - £29,999",Few times a day,4,Salad
41,Keyboard and trackpad,18 - 27,Man,Secondary education,"£10,000 - £19,999",Few times a day,4,Salad
42,Keyboard and regular desktop mouse,38 - 47,Woman,Graduate degree,"£50,000 - £74,999",Few times a day,4,Salad
43,Keyboard and regular desktop mouse,48 - 57,Man,Undergraduate degree,"£40,000 - £49,999",Most of the day,5,Salad
44,Keyboard and regular desktop mouse,58 - 67,Woman,Graduate degree,"£0 - £10,000",Most of the day,4,Salad
45,Keyboard and touchpad,18 - 27,Woman,Graduate degree,"£20,000 - £29,999",Most of the day,4,Salad
47,Keyboard and regular desktop mouse,48 - 57,Man,Graduate degree,"£50,000 - £74,999",Few times a day,4,Salad
