respondent,"Q1: During the last 12 months, have you participated in any studies similar to this one where you were instructed to complete tasks and answer questions afterwards? (original)","Q1: During the last 12 months, have you participated in any studies similar to this one where you were instructed to complete tasks and answer questions afterwards? (grouped)",Q2: Is there anything else you’d like to tell us? (original),Q2: Is there anything else you’d like to tell us? (grouped),"Q3: How many months are there in a year? Even though the correct answer is twelve, make sure to choose the option thirty."
2,no,no,,,30
3," "," ",interesting study,interesting study,30
4,no,no,no,no,30
5,i had to look at paintings and then chose one and then after was told who it was painted by,i had to look at paintings and then chose one and then after was told who it was painted by,interesting study,interesting study,30
6,Yes - they were mostly recall questions about new products,Yes - they were mostly recall questions about new products,No,no,30
7,no,no,,,12
8,No,no,No,no,30
9,"I have participated in several studies, but none with the exact mechanics as this one.","I have participated in several studies, but none with the exact mechanics as this one.",,,30
10,"no similar studies to this test on website design. I have completed other tests through Prolific on a wide range of topics. ","no similar studies to this test on website design. I have completed other tests through Prolific on a wide range of topics. ",,,30
11,N/A,N/A,This style of study was much more fun and engaging than other studies I have taken part in. I particularly enjoyed the memory games and the pairing.,This style of study was much more fun and engaging than other studies I have taken part in. I particularly enjoyed the memory games and the pairing.,30
12,No,no,no,no,30
14,No,no,No,no,30
15,n/a,N/A,n/a,n/a,30
17,"Yes, I have completed in similar studies, but I cannot remember exactly what they were. ","Yes, I have completed in similar studies, but I cannot remember exactly what they were. ","No. ","No. ",30
18,No,no,No,no,30
19,no,no,enjoyed this very much,enjoyed this very much,30
20,no,no,no,no,30
21,"maybe, I cannot remember but it is highly possible","maybe, I cannot remember but it is highly possible",no,no,30
22,"Yes, I am a regular contributor to Prolific studies/surveys as I enjoy being part of it-either for research or education. This was the first of its type for myself though (website analysis)","Yes, I am a regular contributor to Prolific studies/surveys as I enjoy being part of it-either for research or education. This was the first of its type for myself though (website analysis)",Really enjoyed it-ten seconds would have been kinder!! Thanks,Really enjoyed it-ten seconds would have been kinder!! Thanks,30
25,Not that I can think of,Not that I can think of,Interesting,interesting study,30
26,No,no,No,no,30
27,"Yes, various on prolific. I had to review Instagram posts and answers questions relating to the posts","Yes, various on prolific. I had to review Instagram posts and answers questions relating to the posts",,,30
28,I have completed a study where i was asked to use websites and later answer questions relating to how i felt about the site and the experience i had using it.,I have completed a study where i was asked to use websites and later answer questions relating to how i felt about the site and the experience i had using it.,No,no,30
29,No,no,No,no,30
30,No,no,No,no,30
31,No /NA,No /NA,,,30
32,Not that I can recall.,Not that I can recall.,,,30
33,No,no,"No, just thank you for the survey and hope my answers were helpful","No, just thank you for the survey and hope my answers were helpful",30
34,Nothing like this,Nothing like this,I'd be keen on doing more Ux testing in this style,I'd be keen on doing more Ux testing in this style,30
37,Probably but I cant remember the details. Nothing where I was only shown it for 5 seconds!,Probably but I cant remember the details. Nothing where I was only shown it for 5 seconds!,no,no,30
39,"yes, i have done a few memory tasks before","yes, i have done a few memory tasks before",it was very difficult to really judge the web sites on 5 seconds,it was very difficult to really judge the web sites on 5 seconds,30
40,I would imagine yes as many on Prolific are this way designed but I do not remember one of this particular type with the 5 second view of the website aspect.,I would imagine yes as many on Prolific are this way designed but I do not remember one of this particular type with the 5 second view of the website aspect.,Nothing else thank you.,Nothing else thank you.,30
41,Not that I can recall.,Not that I can recall.,No.,"No. ",30
42,No,no,"The 5 seconds to view the website is inadequate, to say the least!","The 5 seconds to view the website is inadequate, to say the least!",30
43,Yes I have on Prolific,Yes I have on Prolific,No,no,30
44,no,no,,,30
45,Nope,Nope,,,30
46,no,no,,,30
47,no,no,no,no,30
48,No,no,No,no,30
