,respondent,task,complexity,interval,time,company,purpose,purpose_tokens,purpose_token_count,purpose_word_count,detail,desc_tokens,desc_token_count,desc_token_count_group,desc_word_count,desc_word_count_group,desc_eval_comp,desc_eval_elem,desc_eval_char,desc_eval_sum,PQ1,ATT1,PQ2,HQ1,PQ3,HQ2,HQ3,ATT2,PQ4,HQ4,PQ,HQ,ATT,familiarity
0,3,1,0.22,2s,94.0,1.0,1.0,clothing,1,1,0.0,picture different age gender wearing clothes link clothes woman clothes child clothes,12,med,24,high,1,2,0,2,7,7,7,6,6,5,6,7,7,7,6.75,6.0,7.0,False
1,3,2,2.0,2s,425.0,0.0,1.0,glass contact lens sunglass,4,4,0.0,picture smiling sunglass,3,low,7,low,0,1,0,1,6,6,7,6,6,6,6,7,7,7,6.5,6.25,6.5,False
2,3,3,2.97,2s,73.0,1.0,1.0,sport gear,2,2,0.0,picture white leopard logo hillsport red hill,7,med,19,med,1,2,0,2,6,7,7,6,5,6,6,7,7,6,6.25,6.0,7.0,False
3,3,4,5.27,2s,85.0,1.0,1.0,information weather,2,4,0.0,lot different weather forecast degree celsius place picture accompany forecast sunny cloud,12,med,22,med,1,2,0,2,7,7,7,6,7,5,6,7,7,6,7.0,5.75,7.0,False
4,3,5,7.5,2s,413.0,1.0,1.0,supply,1,2,1.0,different picture item pet,4,low,8,low,0,1,0,1,5,5,6,4,5,4,5,6,6,4,5.5,4.25,5.5,False
5,3,6,8.0,2s,719.0,1.0,0.0,information energy source,3,4,0.0,text different link battery source mention,6,med,18,med,1,2,0,2,3,3,5,4,4,5,4,5,5,4,4.25,4.25,4.0,False
6,4,1,0.22,2s,64.0,1.0,1.0,clothes,1,1,0.0,picture kid,2,low,4,low,0,1,0,1,4,4,4,5,5,5,3,5,5,3,4.5,4.0,4.5,False
7,4,2,2.0,2s,91.0,1.0,0.0,,0,3,0.0,picture sunglass white color,4,low,9,low,1,1,1,2,6,3,5,3,5,3,4,3,4,3,5.0,3.25,3.0,False
8,4,3,2.97,2s,84.0,1.0,0.0,,0,3,0.0,picture mountain landscape big animal left,6,med,14,med,1,2,0,2,5,4,4,4,5,5,4,5,5,4,4.75,4.25,4.5,False
9,4,4,5.27,2s,81.0,1.0,1.0,meteo forecast,2,2,0.0,big map middle small weather forecast,6,med,12,med,1,2,0,2,4,4,4,4,5,3,3,5,5,3,4.5,3.25,4.5,False
10,4,5,7.5,2s,72.0,1.0,0.0,,0,3,0.0,big banner top picture bottom,5,low,11,low,1,2,0,2,5,2,4,2,4,2,3,2,3,4,4.0,2.75,2.0,False
11,4,6,8.0,2s,116.0,0.0,0.0,,0,3,0.0,white picture middle link left side looked blog,8,med,17,med,1,2,1,3,3,3,3,4,5,3,2,3,4,2,3.75,2.75,3.0,False
12,5,1,0.22,2s,120.0,1.0,1.0,clothes child,2,3,0.0,small logo upper left blue background white writing picture child wearing sustainable clothing,13,high,17,med,1,2,0,2,7,6,6,4,6,5,6,6,6,6,6.25,5.25,6.0,False
13,5,2,2.0,2s,140.0,1.0,0.0,holiday,1,1,1.0,website selling holiday vacation picture beach,6,med,13,med,0,1,0,1,6,7,7,7,7,7,7,7,6,6,6.5,6.75,7.0,False
14,5,3,2.97,2s,93.0,1.0,1.0,clothing hill walker,3,6,0.0,leopard picture word hillsport top,5,low,14,med,0,1,0,1,7,6,6,6,6,7,6,7,6,6,6.25,6.25,6.5,False
15,5,4,5.27,2s,125.0,1.0,1.0,website weather containing large graphic middle text small picture side,10,19,0.0,large weather map middle writing side map blue logo,9,med,21,med,1,2,1,3,7,6,7,6,7,6,6,7,7,6,7.0,6.0,6.5,False
16,5,5,7.5,2s,135.0,1.0,0.0,food oriented,2,6,0.0,red yellow website red circle containing text,7,med,11,low,0,1,1,2,2,4,6,2,6,2,4,4,2,5,4.0,3.25,4.0,False
17,5,6,8.0,2s,149.0,1.0,1.0,information technology,2,3,0.0,text side website picture middle building woman surprise,8,med,26,high,1,3,0,3,7,4,7,5,6,5,6,6,7,5,6.75,5.25,5.0,False
18,7,1,0.22,2s,182.0,1.0,1.0,clothing woman chrildren,3,6,1.0,page sustainable clothing company make clothing family colour neutral,9,med,21,med,1,0,1,1,7,4,6,4,5,4,3,4,7,2,6.25,3.25,4.0,False
19,7,2,2.0,2s,293.0,1.0,1.0,image title make company sell holiday sell eyewear sunglass contact lens,11,22,1.0,page simple image showed different category product sell image heading glance make company sell holiday page product sell knew sold eyewear,21,high,58,high,2,3,1,4,6,4,5,4,2,5,3,4,3,3,4.0,3.75,4.0,False
20,7,3,2.97,2s,216.0,1.0,1.0,sportswear,1,1,0.0,logo included hill colour red large image image big writing collection side underneath column image assume showed product company sell,20,high,49,high,3,4,0,4,6,5,5,5,4,4,3,4,6,5,5.25,4.25,4.5,False
21,7,4,5.27,2s,232.0,1.0,1.0,weather update,2,2,1.0,image map showed weather area longer weather forecast orange box side umbrella text image headline article,16,high,54,high,3,4,0,4,5,4,6,4,6,3,2,4,6,1,5.75,2.5,4.0,False
22,7,5,7.5,2s,137.0,1.0,1.0,product animal,2,3,0.0,page company called megazoo sell product animal website bright primary colour,11,med,18,med,0,0,1,1,6,5,5,4,5,3,4,5,6,5,5.5,4.0,5.0,False
23,7,6,8.0,2s,151.0,1.0,1.0,information tech industry,3,5,0.0,blog news site tech industry made lot link article blog post,11,med,20,med,0,1,0,1,3,3,5,5,6,4,3,4,5,3,4.75,3.75,3.5,False
24,8,1,0.22,2s,73.0,1.0,1.0,clothing,1,1,0.0,different picture bottom woman men child clothing logo small top left hand corner,13,high,31,high,1,2,0,2,6,6,6,6,5,6,2,6,6,5,5.75,4.75,6.0,False
25,8,2,2.0,2s,80.0,1.0,1.0,eyewear,1,1,0.0,different pillar sunglass pillar picture yellow blue theme,8,med,24,high,1,2,1,3,6,6,6,4,5,5,3,5,6,3,5.75,3.75,5.5,False
26,8,3,2.97,2s,68.0,1.0,1.0,backpack outdoor gear,3,4,0.0,cheetah leopard picture hiker lot dominant,6,med,23,med,1,2,0,2,5,4,4,5,4,4,3,4,5,5,4.5,4.25,4.0,False
27,8,4,5.27,2s,117.0,1.0,1.0,weather forecast,2,2,0.0,weather forecast temperature,3,low,10,low,0,1,0,1,3,5,6,3,5,4,3,4,5,3,4.75,3.25,4.5,False
28,8,5,7.5,2s,73.0,1.0,0.5,animal,1,1,0.0,tab different animal group yellow circle mouse rat,8,med,28,high,1,3,0,3,6,5,5,3,6,3,3,5,6,4,5.75,3.25,5.0,False
29,8,6,8.0,2s,65.0,1.0,0.0,idea,1,2,0.0,picture lot writing simple understand,5,low,18,med,1,1,1,2,1,3,3,4,2,4,3,3,2,3,2.0,3.5,3.0,False
30,9,1,0.22,2s,98.0,1.0,1.0,clothing,1,1,0.0,clean image child muted tone cosy,6,med,8,low,1,1,2,3,5,5,5,5,5,5,4,5,5,4,5.0,4.5,5.0,True
31,9,2,2.0,2s,101.0,1.0,1.0,contact lens,2,2,1.0,sparse looked travel website sold eye image,7,med,17,med,0,1,1,2,4,4,4,3,5,5,2,4,4,2,4.25,3.0,4.0,False
32,9,3,2.97,2s,93.0,1.0,1.0,outdoor clothing,2,2,1.0,cute leopard lot image lot box clicking,7,med,13,med,1,2,0,2,4,4,5,5,5,5,4,4,5,5,4.75,4.75,4.0,False
33,9,4,5.27,2s,97.0,1.0,1.0,weather forecast,2,2,0.0,lot lot text blue,4,low,7,low,0,0,2,2,4,3,4,3,6,2,2,4,4,3,4.5,2.5,3.5,True
34,9,5,7.5,2s,99.0,1.0,1.0,animal product,2,2,0.0,picture animal animal food lot green yellow,7,med,11,low,1,1,1,2,2,2,3,2,4,2,4,4,2,4,2.75,3.0,3.0,False
35,9,6,8.0,2s,164.0,1.0,0.0,reuseable energy,2,2,0.0,lot text looked news article confused person muted colour,9,med,13,med,1,1,2,3,2,2,4,4,3,4,4,4,3,4,3.0,4.0,3.0,False
36,10,1,0.22,2s,123.0,0.0,1.0,cloth kid,2,3,0.0,child showing picture adv clothing online selling website clothing kid,10,med,15,med,0,1,0,1,6,6,5,4,5,3,4,4,5,5,5.25,4.0,5.0,False
37,10,2,2.0,2s,246.0,0.5,0.0,ready,1,2,1.0,picture family laying beach,4,low,8,low,0,1,0,1,4,4,5,5,5,4,4,4,4,4,4.5,4.25,4.0,False
38,10,3,2.97,2s,152.0,1.0,0.0,,0,2,0.0,hilspot website picture tiger center website looked tiger site tour,10,med,43,high,2,1,0,1,4,6,5,5,4,4,4,5,4,4,4.25,4.25,5.5,False
39,10,4,5.27,2s,168.0,1.0,1.0,weather forecast,2,2,0.0,website color related weather day believe showing map forecast different are,11,med,26,high,1,2,0,2,4,4,5,5,5,4,4,6,4,5,4.5,4.5,5.0,False
40,10,5,7.5,2s,97.0,1.0,0.0,food item,2,2,0.0,food item shown bottom website package,6,med,14,med,0,1,0,1,4,5,5,4,5,4,4,5,5,5,4.75,4.25,5.0,False
41,10,6,8.0,2s,184.0,1.0,0.5,news provider articals,3,4,0.0,website small window related different topic woman holding makeup set believe site information news,14,high,30,high,1,2,0,2,4,4,4,4,4,4,4,4,3,4,3.75,4.0,4.0,False
42,11,1,0.22,2s,131.0,1.0,1.0,web page sell child clothes,5,6,0.0,child web page brand present providing sustainable clothes,8,med,19,med,0,1,0,1,6,5,5,5,2,4,3,5,5,4,4.5,4.0,5.0,False
43,11,2,2.0,2s,125.0,1.0,1.0,sell vacation vaccination sunglass,4,7,1.0,family photo section photo choose,5,low,17,med,0,2,0,2,5,4,5,3,3,5,3,4,3,4,4.0,3.75,4.0,False
44,11,3,2.97,2s,157.0,1.0,1.0,web page sell sport product mountain sport,7,9,0.0,brand left top big photo mountain left side symbol panther tiger,11,med,29,high,1,3,0,3,6,5,5,4,6,5,3,5,5,4,5.5,4.0,5.0,False
45,11,4,5.27,2s,197.0,1.0,1.0,information weather forecast,3,6,0.0,web page designed simply information weather section choose day place,10,med,29,high,1,1,1,2,6,6,6,5,7,5,4,6,6,5,6.25,4.75,6.0,False
46,11,5,7.5,2s,177.0,1.0,0.0,sell food yellow background part web page,7,23,0.0,intensity yellow color brand clear recognisable,6,med,20,med,0,0,1,1,2,1,2,3,1,2,2,2,1,1,1.5,2.0,1.5,False
47,11,6,8.0,2s,180.0,1.0,1.0,information latest tecnological development news,5,11,0.0,remember link news article technology bold letter heading short summary paragraph news web page,14,high,33,high,1,2,0,2,3,4,3,3,5,2,3,4,2,4,3.25,3.0,4.0,False
48,12,1,0.22,2s,130.0,0.0,1.0,sustainable fashion,2,2,1.0,individual wearing sustainable fashion different colour design worn,8,med,10,low,0,1,0,1,7,7,7,6,5,5,5,7,7,7,6.5,5.75,7.0,False
49,12,2,2.0,2s,346.0,1.0,1.0,sell eye wear sunglass contact lens,6,8,1.0,web page advertising eye wear family vacation made image relation eye,11,med,20,med,1,2,0,2,5,5,5,4,6,3,3,5,5,4,5.25,3.5,5.0,False
50,12,3,2.97,2s,99.0,1.0,0.0,,0,2,1.0,large white tiger image underneath offer clothing,7,med,9,low,1,1,0,1,2,2,2,2,4,3,4,2,2,1,2.5,2.5,2.0,False
51,12,4,5.27,2s,129.0,1.0,1.0,show weather forecast,3,4,1.0,nice layout weather forecast thursday cloud,6,med,11,low,1,1,1,2,7,5,7,4,7,4,4,5,7,5,7.0,4.25,5.0,False
52,12,5,7.5,2s,505.0,1.0,1.0,product animal furniture sand,4,7,0.0,simple website pet require furniture,5,low,12,med,0,0,0,0,4,2,4,2,6,1,3,4,4,3,4.5,2.25,3.0,False
53,12,6,8.0,2s,135.0,1.0,1.0,information technology,2,3,0.0,general information technology latest news read online,7,med,13,med,0,0,0,0,6,4,4,4,6,4,4,4,4,4,5.0,4.0,4.0,False
54,13,1,0.22,2s,99.0,1.0,1.0,sell clothes kid,3,6,0.0,selling clothes kid,3,low,8,low,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5.0,False
55,13,2,2.0,2s,100.0,1.0,0.0,holiday service,2,4,1.0,book tour package website,4,low,9,low,0,0,0,0,6,6,6,6,6,6,6,7,6,6,6.0,6.0,6.5,False
56,13,3,2.97,2s,103.0,1.0,0.5,trekking,1,3,0.5,providing trekking service,3,low,6,low,0,0,0,0,5,6,6,6,5,5,5,5,5,5,5.25,5.25,5.5,False
57,13,4,5.27,2s,80.0,1.0,1.0,show weather forecast,3,4,0.0,check weather forecast website,4,low,8,low,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6.0,6.0,6.0,False
58,13,5,7.5,2s,81.0,1.0,0.0,grocery,1,5,0.0,buy grocery website,3,low,9,low,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6.0,6.0,6.0,False
59,13,6,8.0,2s,84.0,1.0,1.0,technology,1,4,0.0,technology,1,low,4,low,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5.0,False
60,14,1,0.22,2s,84.0,1.0,1.0,clothes,1,1,0.0,picture stretched page logo top left signpost,7,med,16,med,1,2,0,2,6,6,6,5,5,5,5,6,6,5,5.75,5.0,6.0,False
61,14,2,2.0,2s,95.0,0.5,1.0,glass,1,1,0.0,lot white blue signpost image,5,low,15,med,1,1,1,2,6,4,6,4,6,4,4,5,6,5,6.0,4.25,4.5,False
62,14,3,2.97,2s,108.0,1.0,1.0,clothing footwear,2,3,0.0,image big wording signpost logo top left,7,med,19,med,1,3,0,3,4,4,5,5,6,4,4,5,5,3,5.0,4.0,4.5,False
63,14,4,5.27,2s,80.0,1.0,1.0,weather info,2,2,0.0,big map day week underneath info hand side,8,med,18,med,1,3,0,3,2,3,5,4,5,3,3,4,5,3,4.25,3.25,3.5,False
64,14,5,7.5,2s,111.0,1.0,1.0,supply,1,2,1.0,lot colour felt busy,4,low,10,low,0,0,2,2,3,4,5,4,4,3,4,4,3,4,3.75,3.75,4.0,False
65,14,6,8.0,2s,112.0,1.0,0.0,,0,2,0.0,white background lot red black lot text image,8,med,18,med,1,0,2,2,4,4,6,4,5,4,3,4,6,3,5.25,3.5,4.0,False
66,15,1,0.22,2s,90.0,1.0,1.0,clothing,1,1,0.0,male female adult small girl wearing clothes website dull colour yellow,11,med,22,med,1,1,1,2,6,6,5,5,6,5,6,7,7,7,6.0,5.75,6.5,False
67,15,2,2.0,2s,83.0,1.0,1.0,glass sunglass contact lens,4,5,1.0,selling eye correction wear slightly bright simple design,8,med,10,low,0,0,1,1,6,6,6,5,7,5,5,7,6,5,6.25,5.0,6.5,False
68,15,3,2.97,2s,106.0,1.0,1.0,activity equipment,2,2,0.0,snow leopard simple inviting page discount equipment,7,med,9,low,1,2,0,2,5,5,5,5,4,4,5,6,5,5,4.75,4.75,5.5,False
69,15,4,5.27,2s,84.0,1.0,1.0,weather information,2,3,0.0,alot information weather showed temp place gave information generally weather different location,12,med,18,med,1,1,0,1,5,5,4,3,7,3,4,5,6,4,5.5,3.5,5.0,False
70,15,5,7.5,2s,82.0,1.0,0.0,food,1,1,0.0,black yellow bold alot page,5,low,7,low,0,0,1,1,3,3,4,3,4,3,4,3,2,5,3.25,3.75,3.0,False
71,15,6,8.0,2s,104.0,1.0,1.0,porvide tech information news,4,5,0.0,alot information small space simple design looked busy page,9,med,14,med,0,0,2,2,6,3,4,3,6,4,4,3,6,3,5.5,3.5,3.0,False
72,16,1,0.22,2s,149.0,1.0,1.0,cloth apparel,2,2,0.0,company small requires bit figure completely missed middle part website bottom part show clothing option split category idea simply search,20,high,50,high,1,2,0,2,4,4,6,4,6,3,4,4,4,4,5.0,3.75,4.0,False
73,16,2,2.0,2s,121.0,1.0,0.0,holiday,1,1,1.0,white background easy fancy super advanced technology implemented user fairly basic website,12,med,22,med,0,0,1,1,6,4,5,4,7,4,3,4,6,4,6.0,3.75,4.0,False
74,16,3,2.97,2s,118.0,1.0,1.0,sporting equipment potentially mountain related,5,6,0.0,tiger middle attention probably picture hiking generally nice esthetic probably simple,11,med,24,high,1,2,1,3,6,5,5,4,5,4,4,6,6,5,5.5,4.25,5.5,False
75,16,4,5.27,2s,130.0,1.0,1.0,appears weather checking website,4,8,0.0,big picture chosen area middle quick general information weather expected specified option available hand side,15,high,33,high,1,2,0,2,5,4,5,4,4,3,4,4,5,4,4.75,3.75,4.0,False
76,16,5,7.5,2s,135.0,1.0,1.0,food,1,2,1.0,nice colourful picture pet pleasurable quick delivery service available clear visible information,12,med,22,med,1,2,0,2,4,6,6,5,4,5,4,5,4,5,4.5,4.75,5.5,False
77,16,6,8.0,2s,170.0,0.0,0.0,sell,1,6,1.0,lot information potentially overwhelming amount text black white low number picture lot information provided,14,high,24,high,1,0,2,2,2,3,3,2,6,2,1,4,3,4,3.5,2.25,3.5,False
78,19,1,0.22,2s,62.0,1.0,1.0,clothing,1,1,0.0,branded clothing,2,low,5,low,1,1,0,1,4,3,5,4,4,3,2,4,4,2,4.25,2.75,3.5,False
79,19,2,2.0,2s,62.0,1.0,1.0,glass,1,1,0.0,glass different type glass,4,low,8,low,1,1,0,1,4,4,6,5,4,5,5,4,4,4,4.5,4.75,4.0,False
80,19,3,2.97,2s,117.0,1.0,1.0,sporting equipment,2,2,0.0,tiger running hill looked outdoor sport website hiking,8,med,17,med,1,1,0,1,3,5,6,4,5,4,5,4,5,6,4.75,4.75,4.5,False
81,19,4,5.27,2s,83.0,1.0,1.0,weather information,2,2,0.0,show forecast,2,low,3,low,0,1,0,1,6,2,6,4,4,2,2,4,3,1,4.75,2.25,3.0,False
82,19,5,7.5,2s,70.0,1.0,0.0,food,1,1,0.0,supermarket website,2,low,2,low,0,0,0,0,4,1,3,2,4,2,2,4,4,2,3.75,2.0,2.5,False
83,19,6,8.0,2s,82.0,1.0,1.0,tech blog,2,2,0.0,tech article,2,low,2,low,0,0,0,0,3,3,5,4,5,4,3,4,5,4,4.5,3.75,3.5,False
84,20,1,0.22,2s,325.0,1.0,1.0,sell clothes,2,5,0.0,advertisment clothing,2,low,5,low,0,1,0,1,4,3,5,4,4,2,4,4,5,3,4.5,3.25,3.5,False
85,20,2,2.0,2s,122.0,1.0,0.0,holiday,1,1,0.0,woman child laying front sunbathing,5,low,13,med,0,1,0,1,6,5,6,4,6,5,6,5,6,5,6.0,5.0,5.0,False
86,20,3,2.97,2s,106.0,1.0,1.0,clothes,1,1,0.0,leopard box advertising thing selling,5,low,11,low,1,2,0,2,6,5,6,6,5,5,5,6,6,5,5.75,5.25,5.5,False
